Company,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
renault,4.419,397.75,100,11.0,5.0,1.0,1000.0,20.0,9.0,2.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
commerzbankAgI,4.364,87.28,100,4.0,5.0,1.0,1000.0,40.0,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
equinixInc,4.318,86.35,40,6.0,5.0,1.0,1000.0,50.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
freeportMcmoranInc,4.232,42.32,60,4.0,5.0,1.0,1000.0,60.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
ventasInc,4.069,40.69,90,13.0,2.0,1.0,1000.0,10.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
totalEnergies,4.05,121.5,70,6.0,5.0,1.0,1000.0,0.0,3.0,0.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
societeGenerale,4.017,361.54,100,11.0,5.0,1.0,1000.0,40.0,9.0,1.0,0.0,8.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
heidelbergMaterialsAgI,4.007,80.14,50,3.0,5.0,1.0,1000.0,20.0,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bnpParibasActA,3.896,506.48,80,10.0,5.0,1.0,1000.0,20.0,13.0,1.0,1.0,11.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
fdjUnited,3.88,116.4,60,1.0,5.0,1.0,1000.0,0.0,3.0,0.0,0.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
daimlerTruckHoldingAgN,3.812,114.36,40,6.0,5.0,1.0,1000.0,10.0,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bic,3.805,76.1,50,12.0,5.0,1.0,1000.0,0.0,2.0,0.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dukeEnergyCorporationHoldin,3.804,38.04,100,4.0,5.0,1.0,1000.0,70.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
schneiderElectricSe,3.688,184.39,50,10.0,5.0,1.0,1000.0,10.0,5.0,1.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
henkelAgCoKgaaI,3.593,71.86,40,9.0,5.0,1.0,1000.0,20.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
cocaColaEuropacificPartners,3.583,107.5,10,1.0,5.0,1.0,1000.0,20.0,3.0,1.0,2.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
erieIndemnityCompany,3.547,35.47,30,1.0,5.0,1.0,1000.0,20.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
apolloGlobalManagementInc,3.543,106.28,30,12.0,5.0,1.0,1000.0,10.0,3.0,3.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
teleperformance,3.515,70.3,30,12.0,5.0,1.0,1000.0,40.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
volkswagen,3.495,174.77,20,11.0,5.0,1.0,1000.0,40.0,5.0,4.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
freseniusSeCoKgaaI,3.468,34.68,50,3.0,5.0,1.0,1000.0,50.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
natwestGroupPlc,3.457,345.72,100,12.0,5.0,1.0,1000.0,50.0,10.0,3.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
unibailRodamcoWestfield,3.443,68.87,80,2.0,5.0,1.0,1000.0,10.0,2.0,1.0,1.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
morganStanley,3.424,34.24,20,1.0,1.0,3.0,1000.0,20.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
volkswagenAgV,3.238,194.26,20,11.0,5.0,1.0,1000.0,50.0,6.0,5.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
saintGobain,3.215,225.07,100,5.0,5.0,1.0,1000.0,20.0,7.0,0.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bnpParibas,3.023,483.73,80,10.0,5.0,1.0,1000.0,20.0,16.0,1.0,1.0,14.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
theHartfordInsuranceGroupI,3.002,30.02,100,8.0,1.0,1.0,1000.0,40.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
sterisPlcIreland,2.88,28.8,50,2.0,1.0,2.0,1000.0,10.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
freseniusMedicalCareAgI,2.829,56.57,30,8.0,5.0,1.0,1000.0,0.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
immobiliereDassault,2.725,27.25,80,1.0,1.0,4.0,1000.0,0.0,1.0,0.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
lyondellbasellIndustriesNv,2.72,81.59,60,5.0,1.0,4.0,1000.0,10.0,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
lyondellbasellIndustries,2.706,81.19,60,5.0,1.0,4.0,1000.0,10.0,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
klaCorporation,2.605,26.05,20,2.0,1.0,2.0,1000.0,0.0,1.0,0.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
manitouBF,2.583,51.66,80,2.0,1.0,3.0,1000.0,10.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
wynnResortsLimited,2.567,154.02,60,8.0,5.0,1.0,1000.0,80.0,6.0,3.0,2.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bxpInc,2.54,76.19,100,2.0,1.0,4.0,1000.0,20.0,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
extraSpaceStorageInc,2.536,25.36,100,12.0,1.0,4.0,1000.0,0.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
edenred,2.381,71.44,40,6.0,5.0,1.0,1000.0,30.0,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
allianzSeV,2.354,258.93,40,13.0,5.0,1.0,1000.0,20.0,11.0,4.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
accor,2.352,141.11,40,6.0,5.0,1.0,1000.0,20.0,6.0,4.0,1.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bayerischeMotorenWerkeAgS,2.198,65.94,100,2.0,1.0,4.0,1000.0,0.0,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
expandEnergyCorporation,2.188,43.76,100,4.0,1.0,3.0,1000.0,40.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
BBbiotechAG,2.144,64.32,50,7.0,2.0,1.0,1000.0,0.0,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
engie,2.074,207.43,80,7.0,5.0,1.0,1000.0,0.0,10.0,2.0,3.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
weyerhaeuserCompany,2.041,61.22,20,4.0,1.0,4.0,1000.0,10.0,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
allianz,2.037,224.07,40,13.0,5.0,1.0,1000.0,20.0,11.0,4.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
eOnSeN,2.01,40.2,40,5.0,1.0,4.0,1000.0,0.0,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
americanInternationalGroupI,1.993,19.93,10,10.0,2.0,1.0,1000.0,40.0,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
altria,1.977,39.53,20,1.0,1.0,4.0,1000.0,10.0,2.0,0.0,1.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
altriaGroupInc,1.974,39.47,20,1.0,1.0,4.0,1000.0,10.0,2.0,0.0,1.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
