Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,Company,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
4.364,87.28,100,4.0,5.0,1.0,1000.0,40.0,commerzbankAgI,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.318,86.35,40,6.0,5.0,1.0,1000.0,50.0,equinixInc,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
8.335,83.35,20,3.0,5.0,1.0,1000.0,0.0,theJMSmuckerCompany,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.72,81.59,60,5.0,1.0,4.0,1000.0,10.0,lyondellbasellIndustriesNv,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.706,81.19,60,5.0,1.0,4.0,1000.0,10.0,lyondellbasellIndustries,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
4.007,80.14,50,3.0,5.0,1.0,1000.0,20.0,heidelbergMaterialsAgI,2.0,1.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.902,79.02,40,5.0,5.0,1.0,1000.0,0.0,monolithicPowerSystemsInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.898,78.98,70,5.0,5.0,1.0,1000.0,10.0,blackstoneInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.874,78.74,10,4.0,1.0,4.0,1000.0,0.0,fidelityNationalInformationS,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
7.834,78.34,70,8.0,5.0,1.0,1000.0,70.0,eurofinsScient,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.777,77.73,60,5.0,1.0,4.0,1000.0,20.0,michelin,10.0,6.0,0.0,4.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.294,77.65,50,1.0,1.0,4.0,1000.0,10.0,altarea,6.0,4.0,2.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.54,76.19,100,2.0,1.0,4.0,1000.0,20.0,bxpInc,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.805,76.1,50,12.0,5.0,1.0,1000.0,0.0,bic,2.0,0.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.053,73.7,60,11.0,5.0,1.0,1000.0,50.0,vinci,7.0,3.0,1.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.815,73.31,100,5.0,1.0,4.0,1000.0,30.0,progressiveCorporationThe,9.0,2.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.593,71.86,40,9.0,5.0,1.0,1000.0,20.0,henkelAgCoKgaaI,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.381,71.44,40,6.0,5.0,1.0,1000.0,30.0,edenred,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.515,70.3,30,12.0,5.0,1.0,1000.0,40.0,teleperformance,2.0,2.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.903,69.03,90,1.0,5.0,1.0,1000.0,40.0,gladstoneLandCorporation,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
3.443,68.87,80,2.0,5.0,1.0,1000.0,10.0,unibailRodamcoWestfield,2.0,1.0,1.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.62,66.2,10,1.0,5.0,1.0,1000.0,10.0,vistraCorp,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.198,65.94,100,2.0,1.0,4.0,1000.0,0.0,bayerischeMotorenWerkeAgS,3.0,1.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.569,65.69,20,1.0,5.0,1.0,1000.0,0.0,mercedesBenzGroupAgN,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.631,65.24,50,8.0,1.0,4.0,1000.0,60.0,stellantisNv,4.0,3.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.144,64.32,50,7.0,2.0,1.0,1000.0,0.0,BBbiotechAG,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.391,63.91,20,1.0,5.0,1.0,1000.0,0.0,mercedesBenz,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
0.442,61.81,100,11.0,5.0,1.0,1000.0,10.0,legalAndGeneral,14.0,3.0,1.0,10.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
2.041,61.22,20,4.0,1.0,4.0,1000.0,10.0,weyerhaeuserCompany,3.0,2.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
6.005,60.05,30,6.0,5.0,1.0,1000.0,20.0,agilentTechnologiesInc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
1.199,59.94,90,5.0,1.0,4.0,1000.0,50.0,continentalAgI,5.0,4.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.803,58.03,100,11.0,2.0,1.0,1000.0,0.0,kimcoRealtyCorporationHc,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
5.753,57.53,100,12.0,2.0,1.0,1000.0,40.0,paramountGlobal,1.0,1.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
