Company,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
tractorSupplyCompany,0.024,4.05,80,5.0,1.0,4.0,1000.0,40.0,17.0,17.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
fifthThirdBancorp,0.023,5.61,30,8.0,1.0,2.0,1000.0,10.0,24.0,24.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
constellationBrandsInc,0.023,4.99,100,6.0,1.0,4.0,1000.0,50.0,22.0,21.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
theHersheyCompany,0.022,13.98,100,3.0,1.0,2.0,1000.0,40.0,63.0,50.0,2.0,11.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
skyworksSolutionsInc,0.022,5.52,100,7.0,1.0,2.0,1000.0,50.0,25.0,23.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
constellationEnergyCorporatio,0.02,1.23,100,4.0,1.0,1.0,1000.0,0.0,6.0,6.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
theKraftHeinzCompany,0.02,4.43,90,9.0,1.0,4.0,1000.0,0.0,22.0,17.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
jacobsSolutionsInc,0.02,2.03,100,4.0,1.0,1.0,1000.0,0.0,10.0,10.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
invitationHomesInc,0.019,1.94,100,1.0,1.0,1.0,1000.0,0.0,10.0,6.0,1.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
appliedMaterialsInc,0.018,5.49,60,5.0,1.0,4.0,1000.0,20.0,30.0,30.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
johnsonJohnson,0.017,4.41,100,3.0,1.0,3.0,1000.0,0.0,26.0,19.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
phillips66,0.017,3.64,100,5.0,1.0,4.0,1000.0,0.0,21.0,16.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
strykerCorporation,0.017,4.53,100,4.0,1.0,4.0,1000.0,40.0,27.0,26.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
equifaxInc,0.016,7.2,100,8.0,1.0,4.0,1000.0,20.0,44.0,44.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
brownBrownInc,0.015,5.43,100,7.0,1.0,3.0,1000.0,30.0,37.0,36.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
bristolMyersSquibbCompany,0.013,4.64,50,6.0,1.0,1.0,1000.0,10.0,35.0,28.0,0.0,7.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
ameripriseFinancialInc,0.013,5.22,100,8.0,1.0,3.0,1000.0,60.0,41.0,39.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
amphenolCorporation,0.012,3.7,100,9.0,1.0,2.0,1000.0,0.0,30.0,30.0,0.0,0.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
cardinalHealthInc,0.011,5.47,50,5.0,1.0,4.0,1000.0,40.0,48.0,47.0,0.0,1.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
erieIndemnityCompany,0.009,2.44,100,5.0,1.0,4.0,1000.0,0.0,26.0,21.0,0.0,5.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
l3HarrisTechnologiesInc,0.005,2.49,100,7.0,1.0,4.0,1000.0,30.0,47.0,43.0,1.0,3.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
airProductsAndChemicalsInc,0.005,2.25,100,8.0,1.0,3.0,1000.0,10.0,43.0,37.0,0.0,6.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
costcoWholesaleCorporation,0.004,1.19,100,5.0,1.0,4.0,1000.0,10.0,34.0,32.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
traneTechnologiesPlc,0.004,1.55,70,10.0,1.0,4.0,1000.0,30.0,35.0,33.0,0.0,2.0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
