Company,Best profit,Profit cumulee,TP optimal,SL optimal,levier optimal,dureeMax optimal,montantInvestit optimal,perfNormalisee optimal,NB trades,NB TP reached,NB SL reached,NB Duree max reached,TP values,SL values,levier values,Duree max values,montantInvestit values,perfNormalisee values,Date
synchronyFinancial,0.297,59.39,90,6,1,4,1000,30,20,19,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
welltowerInc,0.297,133.55,60,9,1,3,1000,20,45,38,0,7,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
americanTowerCorporationRei,0.296,59.11,90,3,1,4,1000,0,20,19,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
stmicroelectronics,0.293,76.11,100,11,1,3,1000,10,26,25,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
theJMSmuckerCompany,0.284,96.67,100,4,1,4,1000,0,34,31,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
seagateTechnologyHoldingsPlc,0.28,106.36,60,6,1,4,1000,10,38,37,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
steelDynamicsInc,0.278,83.49,100,12,2,1,1000,10,30,27,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
elevanceHealthInc,0.278,58.31,100,10,5,1,1000,10,21,21,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dellTechnologiesInc,0.272,16.29,100,6,1,4,1000,20,6,5,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
astrazenecaPlc,0.268,45.57,100,3,1,4,1000,0,17,9,3,5,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
jpMorganChaseCo,0.265,100.71,100,11,2,1,1000,10,38,28,0,10,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
extraSpaceStorageInc,0.263,71.05,70,12,1,4,1000,0,27,24,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
uSBancorp,0.257,56.46,70,4,1,2,1000,0,22,20,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
generalDynamicsCorporation,0.257,95.26,100,4,1,4,1000,0,37,35,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
comcastCorporation,0.256,92.08,100,12,2,1,1000,0,36,33,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
nisourceInc,0.256,127.8,100,4,1,4,1000,30,50,39,1,10,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
kimcoRealtyCorporationHc,0.255,109.6,100,8,1,4,1000,20,43,36,2,5,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
mcdonaldSCorporation,0.253,73.4,90,4,1,4,1000,10,29,26,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
accor,0.25,22.46,80,1,1,3,1000,0,9,4,4,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
automaticDataProcessingInc,0.243,111.62,100,9,1,4,1000,20,46,44,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
cincinnatiFinancialCorporatio,0.242,70.04,60,6,1,4,1000,0,29,27,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dowInc,0.239,21.55,100,8,1,4,1000,0,9,7,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
northropGrummanCorporation,0.236,89.75,100,3,1,4,1000,10,38,35,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dteEnergyCompany,0.235,86.94,80,14,5,1,1000,10,37,25,0,12,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
molsonCoorsBeverageCompany,0.233,93.03,100,4,1,4,1000,30,40,38,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
dardenRestaurantsInc,0.227,102.23,100,4,1,4,1000,40,45,39,0,6,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
analogDevicesInc,0.22,72.67,90,5,1,4,1000,10,33,31,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
garminLtd,0.218,74.07,100,6,1,4,1000,30,34,25,0,9,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
essexPropertyTrustInc,0.211,97.26,90,10,1,4,1000,20,46,42,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
mTBankCorporation,0.207,93.17,100,7,1,4,1000,20,45,41,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
krogerCompanyThe,0.202,66.59,100,5,1,4,1000,10,33,33,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
walgreensBootsAllianceInc,0.202,88.85,100,3,1,2,1000,10,44,36,0,8,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
prologisInc,0.2,93.96,90,9,1,3,1000,30,47,42,0,5,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
cboeGlobalMarketsInc,0.2,14.03,90,9,5,1,1000,0,7,7,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
ebayInc,0.199,21.91,100,5,1,2,1000,10,11,11,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
regionsFinancialCorporation,0.197,74.92,100,6,1,3,1000,20,38,33,1,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
everestGroupLtd,0.197,70.81,100,5,1,3,1000,0,36,33,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
mAndG,0.196,9.81,20,6,1,3,1000,10,5,4,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
emersonElectricCompany,0.189,88.81,100,5,1,4,1000,10,47,42,0,5,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
juniperNetworksInc,0.186,42.73,100,3,1,3,1000,0,23,20,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
keycorp,0.186,66.96,100,7,1,4,1000,0,36,28,0,8,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
edisonInternational,0.185,57.48,70,7,1,4,1000,0,31,27,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
esteeLauderCompaniesIncT,0.184,49.56,100,7,1,4,1000,20,27,26,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
williamsSonomaInc,0.181,48.86,70,4,1,4,1000,0,27,26,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
amgenInc,0.18,43.15,90,4,1,3,1000,0,24,21,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
paychexInc,0.18,55.91,100,4,1,3,1000,0,31,23,0,8,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
conagraBrandsInc,0.177,51.4,90,3,1,3,1000,0,29,25,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
nxpSemiconductorsNV,0.176,22.91,100,3,1,3,1000,10,13,13,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
informationServicesGroupInc,0.176,21.13,70,6,1,3,1000,40,12,11,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
corningIncorporated,0.175,77.02,100,12,1,2,1000,50,44,40,0,4,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
pinnacleWestCapitalCorporati,0.173,60.54,90,3,1,4,1000,0,35,29,3,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
teConnectivityPlc,0.171,56.39,100,4,1,2,1000,0,33,31,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
gileadSciencesInc,0.17,28.92,90,6,1,4,1000,0,17,14,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
waltDisneyCompanyThe,0.168,13.47,50,2,1,4,1000,0,8,7,0,1,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
rtxCorporation,0.166,53.05,90,9,1,2,1000,0,32,30,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
viatrisInc,0.166,23.21,50,5,1,2,1000,10,14,14,0,0,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
rockwellAutomationInc,0.166,71.32,100,5,1,4,1000,10,43,41,0,2,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
metlifeInc,0.163,42.43,80,10,1,2,1000,0,26,21,0,5,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
theCampbellSCompany,0.161,61.22,60,3,1,4,1000,0,38,35,0,3,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
regencyCentersCorporation,0.16,78.3,90,4,1,2,1000,20,49,37,1,11,"range(0, 101, 10)","range(1, 15)","[1, 2, 5]","range(1, 5)","range(1000, 1001, 500)","range(0, 100, 10)",2025-06-28
